sentence1,sentence2,匹配度,是否匹配,真实标签
伯爵于是用一只脚踏住他的头，说:我不知道究竟是什么力量阻止我不踏破你的脑袋，你这混蛋！,她就从我手里拿了支香烟，我给她点了火。,0.0393,0,0
心烦意乱是什么意思啊？,心烦意乱什么意思？,0.9807,1,1
四川海宁皮革城在那里,浙江省海宁皮革城在哪里,0.0,0,0
我们这个侄女的地位，或者说，假定的地位，因为我们的兄弟佛朗西这一故去，和以前大不相同了，莱薇妮妞小姐说。,在他那急不可待的即兴之谈之中，令人感到的并非一个惯于高谈阔论者的洋洋自得的字斟句酌，而是灵感的抒发。,0.0915,0,0
吩附仆人或责备孩子时从来不提高嗓门，但在塔拉庄园里凡听到这声音的无不立刻服从。,这是一种即使命令仆人或斥责儿女时也从不提高的声音，但也是在塔拉农场人人都随时服从的声音，而她的丈夫的大喊大叫在那里却经常被悄悄地忽略了。,0.5435,1,1
他们无法相信她的话，因为不能想象他们的游戏会造成那么严重的后果，也不能想象他们所毁坏的就是他们赖以生活的东西。,即使你喝泉水，吃树上摘下来的果子，可能都有危险。,0.2154,0,0
那末，青年急切地说，我的境况一定可以很适意的了。,在刽子手的后面，根据处死的先后程序，先出来的是庇皮诺，然后是安德烈，每一个都由两位教士陪伴着。,0.0902,0,0
杜涅奇卡终于等得不耐烦，离开索尼雅，上哥哥那儿去等他。,你们那个赫赫有名的密苏里银行家托马斯本顿，您不是就叫他老金条吗？,0.0257,0,0
而且你己经是那么个大姑娘了。,这句话总算让俩人都静了下来，唐吉诃德又问牧羊人怎样找到卡德尼奥，因为那个故事的结局正悬着他的心。,0.0317,0,0
要说有变化，就是管家换了人。,啊，这却换了人了。,0.101,0,1
哼！罗切斯特先生哼了一声，默默地喝起茶来。,哼！罗切斯特先生说，他默默地喝着茶。,0.7932,1,1
"这显著的降低了监管负担提供参与者通过消除activelytraded证券承销商的交易限制大的发行商,减少其他证券的限制时间,为稳定交易提供一个更灵活的框架,扩大证券资格纳斯达克被动的市场在提供,并解除",纳斯达克完全控制着所有与监管有关的决定。,0.2428,0,0
他们打仗。胜利的光荣归于谁？,可是卡尔青金依然站着，直到民事执行吏跑过去，偏着头，不自然地瞪大眼睛，用悲惨的声调低声说:坐下吧，坐下吧！,0.0532,0,0
挂学籍是什么意思,学籍是什么意思啊,0.0,0,0
有什么可以在家兼职的工作吗,在家兼职工作有哪些,0.9828,1,1
它是暴风雨，它破坏船只的航行。,我差点没把他从窗口扔出去。,0.0122,0,0
他唤了一声，坐进圈椅，让人给他送咖啡，直到这时他才摘下了帽子。,请原谅，年轻人，您能不能不，说得更有力、更淸楚些，不是您而是您现在望着我，肯定说我不是一只猪？,0.0,0,0
是的，那是真的，那里有很多谈话，我不认为任何人会想到它会像以前那样成功和无痛,很多人都在谈论这件事，但我怀疑任何人都不知道这件事会不会像以前那样容易。,0.315,0,1
斯科利尼科夫全身颤抖了一下，波尔菲里彼特罗维奇不仅看到了，而里看得太清楚了。,女人内心的直觉，不仅知道她自己的痛苦，而且也知道她丈夫的痛苦，即使这些想象得到的责备不是由外人来指责他或者他的子女的话，它们也可能在自己的头脑里责备自己，他的耳朵也照样听得见。,0.2339,0,0
什么牌子的眼霜好用？,充电宝质量好的都有啥牌子,0.0,0,0
我的心脏！他的眼睛直跳，直勾勾地望着奶油色石头的曲线。,我的心脏他的眼睛搏动着，定定地盯住了乳脂色的石头曲线。,0.4773,1,1
聊天开始,我们重新聊天吧,0.0436,0,0
聂赫留朵夫向她求婚是出于宽宏大量和过去那件事；西蒙松爱的却是今天的她，而且纯粹是因为喜欢她。,玛丽雅的爱称》西蒙松的名字。,0.0501,0,1
你是男孩子还是女孩子,你是男孩子还是女孩子啊,0.9861,1,1
女孩和男孩在盘子里供应食物,一个女孩和一个男孩在服侍小游戏,0.1451,0,0
有几个站起身来，有些仍然躺着。,冬妮亚站起身来。,0.2911,0,1
一位手持蓝色莫霍克的年轻女子握着一只正在向左看的蹒跚学步的小手，向右看。,一个年轻的女人有一只蓝色的莫霍克。,0.2578,0,1
妈妈的爸爸爷爷的,我爷爷的妈妈叫什么,0.0,0,1
尽管还没有到正午，可太阳已经渐渐变暗，虽然还有阳光照射，但已经不暖和。,在波旁王族重新登台的头七八年里，引起一片惊慌，无论是财政界、工业界，还是商业界，都感到脚下的地在动摇，许多人破了产。,0.1839,0,0
奥夫夏尼科夫常常在午饭后睡一下，每星期六进操堂，读的全是宗教书读的时候煞有介事地在鼻子上架起一副圆形的银边眼镜，起身和就寝都很早。,这是最可靠的证件。,0.0172,0,0
在农场种稻的妇女。,妇女们在田里种稻子。,0.6767,1,1
约翰怀斯诺兰落在后面看名单，然后沿着科克山的下坡路匆匆赶了上来。,他们这是为所有的孟什维克卖力气——从米亚斯尼科夫到马尔托夫！,0.1389,0,0
大概也差不多吧。,哦，你在做什么呢？,0.0052,0,0
不会的，亲爱的万帕，伯爵说道，再说，您已经殷勤周到地补回您的过失，我们几乎要感谢您犯了这样的错误呢。,她与许多野兽交配过，而且还要与更多的野兽交配，直到那将使她痛苦而死的灵犬来临。,0.0884,0,0
康纳商店出售烟草、糖果、杂志和咖啡。,这家商店从来不卖商品。,0.05,0,0
怎么查询苹果手机的保修期,如何查询苹果手机的保修期,0.9836,1,1
我听了并不惊奇。,我听了并不吃惊。,0.8969,1,1
一个人用一只手骑自行车，另一只手拿着一杯饮料。,一个男人坐在自行车上，至少有一只手。,0.4717,1,1
那个声音继续道:上帝将他的旨意寄放在花朵里、朝霞里、春天里，他要人们去爱。,那个声音继续说道:上帝把他的旨意寄于花朵里，晨曦中，春天里，他希望人们去爱。,0.9794,1,1
两个女人坐在石头旁边，其中一个拿着饮料。,没人坐着。,0.0315,0,0
一小群人聚集在一个贫穷村庄的沙漠里。,人们都在一个村子里。,0.5087,1,1
这究竟是什么意思，福尔摩斯先生？,思嘉眼看自己的女儿用一又小手牢牢地控制着她的父亲，心里又高兴又感动。,0.0,0,0
帕维尔彼得罗维奇左手插在裤袋里，右手慢慢地举起枪，枪口猫准对方，迎面走来。,巴扎罗夫慢慢地往前走，巴威尔彼得罗维奇把左手插在裤袋里也向着他走来，渐渐地举起了枪口。,0.0,0,1
一个男人拿着一个袋子走在一条石街前面，前面是一座看起来像蓝色柱子的老建筑。,那人开始跑过石街,0.286,0,0
他那圆溜溜的、金色的眼睛里肉着光，兴髙果烈地叙述着。,昨天我那莫尔多瓦女人又喝得烂醉回家了他那圆溜溜的、金色的眼睛里闪着光，兴髙采烈地叙述着。,0.4832,1,1
这就是我的全部历史。,按照他们的约定，在完成她的事之前，他不能插手其他事。,0.1435,0,0
他们还为缉毒增加了资金。,他们还增加了禁毒资金。,0.9673,1,1
当安德烈公爵一回到已习惯的生活环境时，这种感情就消失了，不过他知道，这种他不善于培养的感情活在他心中。,当安德烈公爵一进入习惯的生活环境，这种感情就消失了，可是他知道，他虽然不善于进一步发展这种感情，但是它已经在他心中扎了根。,0.9141,1,1
他拿来几片当地常见的迷迭香叶子，放嘴里嚼碎了，再放点盐，然后敷在唐吉诃德耳朵上，说不用别的药就好了，说着给他包扎好伤口。,里面没有任何他要找的东西，他也没有时间去寻古探幽。,0.0,0,0
是的，先生，伯爵答道，我想把人类作为整体来进行生理上的研究，而您每天都在处理个别的案件。,大臣低着头，涨红了脸，喃喃地说，快报是投递站接力送来的，陛下。,0.046,0,0
浣熊在吃东西。,一个男人在吃东西。,0.0039,0,0
那些没有能挤进教堂的人，都聚集在窗口，拥挤着，争吵着，从窗栏杆外面往里张望。,五整个莫斯科，所有的亲戚朋友，都聚集在教堂里了。,0.1756,0,1
oppo充电提示音怎么换,oppo怎么换充电提示音,0.9843,1,1
他们把更多的注意力放在会议日程上，而不是获取知识上。,获取知识优先于会议日程安排。,0.3154,0,0
我求他饶恕。我向他屈服，主动认了错。,我向他屈服了。,0.6923,1,1
我在安茨尤姆连一根头发都不会拫失。,他把这两只木箱放在迪朗德号甲板上最牢固的地方。,0.0,0,0
他说话时，马车两侧车灯发出的闪烁灯光顺着弯曲的街道绕过来。,瞧，你浑身滴水，像条美人鱼啦。,0.0151,0,0
魁魁格！。魁魁格！,在她房里的墙壁挂着的那些证朽都是俄国的历代沙皇戈林诺夫、阿列克谢、彼得大帝给她丈夫的先人的赏赐。,0.0,0,0
不过，目前他打算到各处航游，到四大洋去放荡一番。,可是，现在他计划去各地航行一番，到四大洋去游历一番。,0.0,0,1
上帝的道路谁也不知道。,不，谁也不会去多佛尔礁的。,0.2285,0,1
但她说，任何与离婚、子女监护和子女抚养有关的复杂问题，通常都会在遗嘱认证法院审理，而对于这些问题，我们真的需要为我们的客户提供法律代理。,她说，子女监护权和子女抚养费方面的复杂情况通常在遗嘱认证法院审理，但与一般离婚有关的问题不在此列。,0.511,1,0
韩国，游戏怎么下载？,韩国游戏怎么下载,0.9859,1,1
维尔福小姐，我的继女。,六月不下雨，麦子将生白粉病。,0.0,0,0
但是，公证人说，您知道吗，法律是不允许一个儿子的继承权全部被褫夺的？,对，可是，公证人说，您知道法律不允许您完全褫夺您儿子的继承权？,0.9382,1,1
但是，如果管理层需要此类证明和/或核查，则应在尽可能接近发薪期结束时进行这种认证和(或)核查。,管理层进行这些核查的最糟糕时间将是薪酬期限的结束。,0.0659,0,0
席履丰厚,一贫如洗,0.0,0,0
弗丽达一走，她又说，就急忙把我调到这儿来了，因为这儿并不是能随便用一个人的。,许多人已经传染上了，回家去也只是等死；有些人死在学校里，给悄悄地马上埋掉，疾病的性质不允许耽搁。,0.249,0,0
那几个妓女誉他们爬上四截又长又睦、咬叹作垧的木搂梯，穿过门道走进她们自己分租的精致华丽的住房。,姑娘们领着他们爬过四段又陡又长、踩上去嘎嘎作响的木楼梯，穿过一个门廊，走进她们自己的富丽堂皇的公寓套房。,0.3346,0,1
整个儿事情就是这样。,所有的情形就是这样。,0.9393,1,1
他在院子里，他回答道，正在跟坎纳斯大夫说话，大夫:说，舅舅快死了——他到底要死了，逃不过了。,亲爱的朋友，基督山说，我觉着您是在说一桩我俩都心照不宣的事情。,0.1323,0,0
保尔正用大拖布使劲地擦着到处是油塘的水泥地面。,您知道吗？这扇门为什么锁上了？,0.0,0,0
我拚命想睁幵眼睛，可它们还是不由自主地闭了拢来。,过来，他说。我从地毯上走过去；他让我端端正正地站在他面前。,0.2312,0,0
我们下河洗个操，然后来到河边个小馆子里，默默地喝茶。,我们下河洗过澡，就在河岸上的小饭馆里坐下，默默地喝茶。,0.9718,1,1
白天一些失望的心情和对明天的忧虑都消失了，留下了一线希望。,望着安娜的温和快活、而又精力旺盛的举止，而且又认识阿列克谢亚历山德罗维奇和弗龙斯基，戈列尼谢夫感到他十分了解她。,0.0424,0,0
两个金发孩子在草地上玩棍子。,两个孩子在床上睡觉。,0.0,0,0
一个穿着深灰色帽衫、紫色裤子和粉红色靴子的年轻女孩拿着一根棍子，在水里玩耍。,一个女孩在玩。,0.1713,0,1
我想住到冬天。,要达到什么目的？,0.0,0,0
他下了马车，低下头，喘着粗气，默默地等待着，来回踱着步。,但是维尼裘斯当听到黎吉亚被召的话，脸色立时变得苍白。,0.0321,0,0
谁能帮我找个游戏？,找个酷跑游戏,0.0,0,0
它们可能是德洛斯最著名的摄影符号，据信可以追溯到公元前7世纪。,德洛斯的象征从未被拍摄过。,0.0667,0,0
你简直想像不出，一个年轻的、没有经验的、糊涂地教养大的孩子，会把爱情误认成什么！,您无法理解，一个年轻、没有经验，又是在不正常的环境里教养起来的男孩子，会把爰情看做什么！,0.0245,0,1
那你看到他了？,你无视他为什么？,0.0,0,0
谁也看不见。它被水淹没了。,他想说什么。还有什么事？,0.0035,0,0
他们不是也搜刮钱财吗？,保佑这条小狗吧！,0.0,0,0
我想要你,我确实想要你,0.9253,1,1
圣日耳曼区所有的大钟都敲响了十一点钟，这是个温馨的夜晚。,圣日耳曼区的所有大时钟都同时敲响了十一点的钟声，天气很暖和。,0.7386,1,1
工场里很热闷，有二十来个从帕列赫、霍卢伊、姆斯乔拉来的圣像画工在那儿工作。,列文又上好子弹，动身往远处去的时候，太阳虽然还被乌云遮着，但是已经升起来了。,0.0133,0,0
再见！索尼雅吓得索索发抖了。,幕一升起，包厢和池座都安静了，所有的男人，老年的和年轻的，穿制服的和穿燕尾服的，所有的女人，在裸露的身上戴着宝石的女人，都怀着贪婪的好奇心把全副注意力转向了舞台。,0.0629,0,0
关于人人账号的,人人网的账号,0.9667,1,1
这时候，德克鲁瓦泽努瓦侯爵急急忙忙朝德拉莫尔小姐走过来。,这来自大西洋的怒潮，有整个大洋的海水作后盾。,0.0561,0,0
是《朱泽培加里波第》，冬妮亚纠正了他的错误。,哦，是啊你们交成了朋友，这我已经听到了。,0.0936,0,0
这是我的事务所，波卢特金先生指着一所矮小的房子，突然对我说，要不要去看看？,毫无疑问，德莱纳夫人回答道，声音严厉，语气中有某种无情和责备于连的味道，您走的时候，我的失足已为全城的人所知。,0.1129,0,0
卡捷琳娜伊万诺芙娜接过钱来，并且彬彬有礼，甚至是恭恭敬敬地向他翰了个躬。,她接着往下说:今天早上你们早饭吃不下去；现在一定都饿了；——我已经吩咐过，给大伙儿准备一顿面包和干酪的点心。,0.0645,0,0
梦见死去的亲人又死了,梦见死去的亲人,0.9631,1,1
接着立刻就几乎大声地对拉斯柯尔尼科夫嘟嘟囔囔说，像彼得彼得罗维奇那样的可尊敬的有身价的人，发觉自己在这样一伙罕见的人中间，确实会感到不习惯的，虽然他尽力帮助着她的一家人，并且跟她爸爸旧交甚笃。,然后立刻几乎大声地对拉斯柯尼科夫说，像彼特彼特罗维奇那样可敬的、有身分的人，如果来到这群异乎寻常的人中间，一定会感到奇怪的，尽管他对她的一家人满腔热忱，跟她爸爸又是老朋友。,0.4957,1,1
要转变为激进分子，投共和党的票吗，阿希礼？,想当激进派，投共和党的票了吧，艾希礼？,0.9486,1,1
她还用精神病患者常用的那种无意而又固执的狡诈手法来达到目的。,况且，他挺讨她喜欢，她已经习惯于认为，他将属于她不是她属于他，而是他属于她，她还用精神病人常见的那种虽无意识，但却十分固执的狡猾的手段，来达到自己的目的。,0.6379,1,1
一个人坐在长凳上，双脚踩在滑板上。,一个男人坐在户外。,0.0409,0,1
唉，斯维德里盖洛夫厌恶地阻止他说，请您别谈这个，他又赶紧补充说，甚至不像以前那样，已经不再吹牛了。,我握起她的手，我拥有她的心，我明明白白看出她对我的爱。,0.1437,0,0
蚂蚁借呗能借***天么,蚂蚁借呗***期是多久,0.8397,1,1
愿上帝保佑诸位吧，请转告我的恩公公爵大人，我光身来又光身去，没赔也没赚，我是说，我身无分文上了任，如今还是身无分文地走人，跟别的海岛的总督可完全不同。,查理曼—时代的那些勇士就是这样说的，也是这样做的，每一个骑士都应该努力去模仿学习他们。,0.0265,0,0
拉夫列茨基走进房来，沉到了一把椅子上；老人站在他面前，把自己的破旧的花睡衣裹在身边，身体瑟缩着，咬着嘴唇。,我发现您处在这样的状况，觉得非常抱歉，非常抱歉，他又开口说，极力要打破沉默。,0.0446,0,0
一位年长的亚洲妇女展示面包待售,有一位年迈的东方妇女在卖面包。,0.4052,1,1
贝雅特丽齐用那样充满神圣之爱的火花的眼光看着我，使我的视力败阵而逃，我两眼低垂，几乎失去了知觉。,贝阿特丽切用按充满爱抚光辉的双眼把我注视，那双眼是如此神圣，竟压倒我的视力，逼它向后逃避，我几乎感到惊慌失措，把双目垂低。,0.4305,1,1
夜阑人静,锣鼓喧天,0.0,0,0
看到安塞尔莫那么坚决，罗塔里奥再也举不出和讲不出让他放弃的例证和道理了。,可是被蒙在鼓里的安塞尔莫坚决不同意他这么做。,0.058,0,1
大虫的脑壳,猴头猴脑,0.0,0,0
把你的钱丢进茅坑里去吧！,。爱德蒙总算又自由了，他又惊喜地倾听起来。,0.0,0,0
一个男孩在努力工作，创造出五颜六色的珠宝。,在房间里看电视的男孩,0.0037,0,0
他环视周围，一点希望也没有:他们都在哈哈大笑星星美葡萄，金钱国大王叫道，只见一个大块头的乞丐应声出列。,哎呀，反正都一样，多尔戈鲁科夫匆匆地说，一面站起来，在桌上打开地图。,0.0325,0,0
一个四重奏的男音乐家，穿着简单的街头服装，在商店橱窗前演奏一首曲子。,一群男歌手在商店前唱曲调。,0.5069,1,1
直到五点钟吃饭的时候，他才回来，同秘书一起吃了饭，又邀请他一起坐车到别墅，然后去看赛马。,阿列克谢亚历山德罗维奇到五点钟，他吃中饭的时候，才赶回家来，他和秘书一道吃了饭，就邀他一道坐车到别墅去，然后去看赛马。,0.9655,1,1
摄影师,千真万确,0.0,0,0
老天爷！你弄成个什么样子啦！,那个人莫名其妙地看看他，吃了一惊。,0.0266,0,0
特里马西翁，是典型的暴发户，食用十分奢侈《俄瑞斯忒斯，是希腊神话中阿彻门农的儿子，和妹妹介谋杀死己的母亲，遂至疯狂得曾经在拉佛的主教——这位主教既属于贵族，也属于教会——的收税员那里，看见过一大堆从附近农民那里征收来的美丽的麦子，主教没有费什么气力让这些麦子生饺。,谁写的那首诗，华兹华斯还是托马斯坎贝尔，应该叫乡村教堂墓地赞歌。,0.078,0,0
这是一种纯粹的自恋，一种认为它意味着美白的观念。,形成它的想法意味着美白是自恋的。,0.0,0,1
他们坐下来进餐。,我走了，阿尔贝。,0.0304,0,0
大得很响，坐在车门边的人答道，从来没有比这还大和跟这差不多大的狮子从非洲运到西班牙来呢。,太大了，坐在车前的那个人说，从非洲运到西班牙的狮子里，没有比它们更大的，连像它们一样大的也没有。,0.8141,1,1
不过我是这样看这个问题的，他对于一些教义有深入的研宄，我对于教义根本没有认真思考过，所以他相信的东西的正确性比我可能会相信的东西的正确性要大得多。,但是，我是这样看的，他在对他的理论进行了一番深入的研究以后，他相信的可能就要比我相信的更加正确了，因为我根本就没有深入到理论中去。,0.0,0,1
那小姑娘已经在炉边睡着了，又跳起来，带着沉默的恐怖向我们注视。,很久以后，当他回忆那个时期的时候，他才明白他的意识有时似乎是模模糊糊的，除了中间稍有间歇外，这种状态一直延续到最后灾难的来临。,0.0875,0,0
办公室的门也大敞着。,办事处的房门也大敞着。,0.855,1,1
电剪刀怎么修,剪刀腿怎么做,0.0,0,0
怎么，无聊吗？,我跟您讲到腾格拉尔的时候，有些失礼了。,0.0,0,0
一个穿着冬衣的男孩，坐在雪地里的蓝色雪橇上。,一个孩子正在用许多玩具洗澡。,0.0,0,0
这些人假装在沿海贸易，实际上却是走私贩子，他们大概会出卖我，以表示他们自己是好人。,请您原谅，他嘴唇移嚷着对波尔费利彼特罗维奇说，我们用这种鸡毛蒜皮的事打搅了您半小时。,0.0139,0,0
一个白种人在阳光明媚的日子里割草。,那人正在割草。,0.5702,1,1
道不拾遗,打家劫舍,0.0,0,0
现在有了摄影，你知道，这就是我正在做的是兼职工作，因为我可以把我的孩子们放在日托环境中一周几个小时，然后用这些小时来做我正在做的事情，就是拍学校的照片。,我可以在我工作的时候把我的孩子送到托儿所。,0.1962,0,1
上好的腊肠。求求你啦，警察先生，我在树林子里迷了路。,卢仁的脸色刷地白了，他咬紧；嘴唇。,0.0107,0,0
索具上已挂上召唤小艇回大船的信号旗；天也黑了；大船在到正相反的方向去找寻那第四只小艇之前，不得不先去料理远在上风处的三只小艇，这样一来，大船不仅只好暂时让那只小艇听天由命，待到午夜时分再说，而且越来越远离它了。,头一个房间里有一个穿制服的青年文官，脖子特别细长，喉核突出来，走起路来脚步异常轻。,0.1219,0,0
灰色的烟雾吹向夜空，裂缝把卡达安蹲在地上，吹到了他的脚掌上。,卡丹站得很高。,0.1084,0,0
它可以是坐落在19世纪Nahlat Shiv‘a小巷的咖啡馆和餐馆，也可以是古老清真寺尖塔上的天空，在古老的Citeas清真寺尖塔上，一片飘渺的夕阳照亮了天空。,可能是19世纪的餐馆，也可能是清真寺的尖塔。,0.0108,0,1
还有你，他说，假如你高兴的话，你也来吧，子爵阁下，你也有权利，因为你几乎已是这个家庭的一分子了，只要有人愿意接受这种约会，多约几个也无妨。,我的天主！他说，您要想去也去吧，子爵先生，您有资格这么做，因为您差不多也是这个家庭的一个成员了；这种约会，只要有人愿意接受，我是来者不拒的。,0.603,1,1
一位戴眼镜的老年妇女用手机接听电话。,这位老妇人没有手机,0.3302,0,0
两点叫我起来,帮我调个六点的闹钟,0.0,0,0
几名看守举手行礼，目送他过去。,看守们把手举到帽沿上，目送狱长走过去。,0.5828,1,1
一个穿着飞机的婴儿坐在高椅上。,一个婴儿坐在他的椅子上。,0.5017,1,1
正如我们的植物在太阳的光芒和天上的鲤鱼后面的星座所放的光合在一起射下来时，萌发幼芽，然后在太阳把它的唆马套在另一星座下以前，就都重新呈现出各自的色彩；同样，这棵原先枝柯那样光秀秃的树变得面目一新，开满颜色比玫瑰暗淡、比紫罗兰鲜明的花。,噢，正如那天夏多勒诺所告诉您的，这一切都不过只是一部家庭历史，马西米兰说道，象您这样名利双收，饱经沧桑的人，对于这种细小的事情是不会有多大浓厚的兴趣的，但我们的确有过极悲惨的遭遇。,0.1805,0,0
才人是指什么生肖,站着的生肖是什么,0.0,0,0
这是什么龟，谢谢,这是什么树谢谢啊,0.0,0,0
为了你今天干的事情，我不知道要怎么感谢你才好啊！,啊，他的态度看起来倒还不错。,0.0015,0,0
一个人写了一本又一本书来反驳他不懂的东西，这只是个怪人。,“怪人”是指在自己不懂的主题上写多本书的人。,0.3097,0,1
他们牵来了毛驴，将桑丘扶了上去并把他的外套搭到了他的身上。,很喜欢，杜尼雅回答说。,0.0,0,0
已经包括在这笔数目里了。,这笔款子也已在总数里付清了，伯爵先生。,0.5585,1,1
一位金发女子，戴着网球帽和运动背心，举起左手微笑着。,一只狗在说话。,0.0,0,0
女人喜欢什么身材的男人？,女人喜欢男人什么的身材？,0.9799,1,1
而且，他有那样的想法，我也不觉得有什么可耻的。,为了我，你才不得不忍受教师的专横，接受了这个卑贱的职位，并且正在付出全副气力争取跟克拉姆见面。,0.0779,0,0
但请你说下去吧。,那好！是的，我的朋友，三天后的断头者，他回答那个人道。,0.011,0,0
您妈妈不会答应这真可怕！,您妈妈不同意这真可怕！,0.7671,1,1
不过他知道，他检丧得不够仔细，说不定还有什么他没发现的、很显眼的痕迹。,才十七个月！唐太斯答道。,0.1582,0,0
淘宝网订机票,想在淘宝网订机票,0.9734,1,1
一段时间或者过一段时间,一段时间或一段时间,0.9731,1,1
如果您一定要的话，将由我来转达他的深切的敬意和因为惹您生气而感到的遗憾。,不，不对，杜尼她坚定地回答。,0.016,0,0
只见神父用另一只手牵过他，把他们俩朝着法官和其他人领过去，一面走，一面说道:擦干眼泪吧，法官大人，您己经实现了您最大的夙愿！,上尉正等着看神甫干什么，神甫又过来拉起他的手，领着两人来到法官和其他客人面前，说:您停止流泪吧，法官大人，现在您完全如愿以偿了。,0.0613,0,1
一个小女孩，穿着一件粉红色的运动衫，手里拿着一个红色的钱包。,手持钱包的人,0.3544,0,1
哎！卡德鲁斯说，可我当初是答应他这么说，您是言而无信喂？,啊，卡德鲁斯说，我答应过而你毁了你的诺言！,0.7358,1,1
两个穿蓝衬衫的男人在看足球比赛。,两个穿蓝衬衫的男人在踢足球。,0.4594,1,0
埃伦挽着杰拉尔德的胳臂，跟着他，三个女儿各自拿着烛台，尾随上楼。,从此她给予我的一切影响深入到了我的心间。,0.0153,0,0
那你懂吗,那这个题你懂了吗,0.916,1,1
我们不认为这是故意写错的。,但是四下里一片寂静，恐怕这是他的幻觉在作怪吧。,0.0107,0,0
另外，艾博特小姐说，上帝会惩罚她，也许会在她耍啤气时，把她处死，死后她能上哪儿呢，来，贝茜，咱们走吧，随她去。,而我寸步不离地守在病人的房间里，我不能离开她，还要给她讲各种好笑的奇闻轶事，跟她打牌，给她解闷。,0.1361,0,0
你在谁家当厨子？,如果您再多迈一步，达尔大尼央，他说，就让我们交锋吧达尔大尼央跪下来，祈祷。,0.0,0,0
叫你宝贝吧,叫你宝贝好不,0.9815,1,1
孕妇可以吃雪糕吗？,孕妇可以吃雪糕吗,0.9827,1,1
她立刻坐起来，把手伸开，粗野地说：“别傻了！”我有点生气。,我确信她对我的感觉和我对她的感觉是一样的，当她告诉我不是这样的时候，这是一个惊喜。,0.0876,0,1
观众眼看着这个和野兽还没有明显分别的原始人在垂死挣扎，景象是凄厉的，观众紧张得气也透不过来；再过片刻，野兽就会胖利了，混沌就会重新把人吞没。,可是难道你还不明白，你时而说这个年轻人想象力太丰富，时而又说他太缺乏想象力，这是什么意思呢？,0.0,0,0
拿灯来！点起灯来！,马伊埃特一听，若有所思地摇了摇头。,0.0,0,0
可是，这只神秘的东西是怎样被捉到的呢？,可是又是什么东西支配着这疯子呢？,0.0,0,1
他马上就认出他，这就是和他争夺本地政权的敌手，高鲁布有好一笔旧账还没有和他清算呢。,他马上就认出来，这就是和他争夺本地政权的敌手帕夫柳克。,0.5296,1,1
够了，你们回去吧我受不了！,娜塔莎，把衣服脱了，亲爱的，睡到我床上来吧。,0.0242,0,0
别的人也唱来着，米尔小妲也唱来着——她唱的是心穷的深处酣睡的回声，好像她有一百岁那样老似的——这样，夜色就来到了。,壁炉架上枝形烛架的光正好照耀着他。,0.0644,0,0
什么软件可以用来做头像？,什么软件可以做头像？,0.9823,1,0
"当前我们采取的许多治理整顿措施,本身就是深化改革的重要内容",当前我们采取了许多措施,0.5429,1,1
今天的天气很好哦,温州今天天气怎样,0.0,0,0
公爵小姐很快站起身来迎接他，向他伸出了一只手。,公爵小姐连忙站起身来，向前迎着他，伸出了手。,0.9403,1,1
我一宥见他，心里就想:真是个棒小当他走近时，我便问他:唆，小伙你么存路不走啊？,丽扎韦塔站在房间中央，两手捧着一个大包裹，木然望着被杀害了的姐姐，脸色惨白，像块亚麻布，仿佛没有力气叫喊了。,0.0006,0,0
格雷戈里把他的意见系统地说了出来，几乎和福尔摩斯在火车上的预言完全一样。,伯爵冷冷地说道。,0.4233,1,0
这项新政策对学生的成绩、考试成绩和高中课程给予了最大的重视。,学业成绩-包括成绩、考试成绩和高中课程-被列为最高优先。,0.5747,1,1
直到他在家乡车站下了车，认出外套领子竖起的独眼车夫伊格拿特，看见车站朦胧灯光下他那辆垫着毛毯的雪橇，他那几匹系住尾巴、套着饰有铃铛和璎珞的马具的马，车夫伊格拿特一面安放行李，一面告诉他村里的消息，告诉他包工头来过了，巴瓦生了小牛，——直到这时，他才觉得头脑清醒了一些，羞耻感和自怨自艾的情绪也逐渐消失了。,但是当他在自己家乡的车站下了车，看见了他那翻起外衣领子的独眼车夫伊格纳特的时候；当他在车站的朦胧灯光下看见他的垫着毛毯的雪橇，他的系住尾巴、套上带着铃铛和缨络的马具的马的时候；当车夫伊格纳特一面把他的行李搬上车来，一面告诉他村里的消息，告诉他包工头来了，帕瓦养了小牛的时候，——他才感觉到他的混乱心情渐次澄清，而羞耻和对自己不满的心情也正在消失。,0.484,1,1
港澳通行证签注,港澳通行证签证,0.9811,1,1
我用花呗付的摩拜单车，为什么我退了押金还让我还花呗,我之前膜拜押金用花呗支付的，我今天***号如果想退押金，这个钱会抵我这个月的账单么,0.0,0,0
现在我想起来了，这是前天沃林采夫拿它当灯罩用来着，后来他自己还动手找，找得满头大汗还是找不到。,太阳虽然已经出来了，可是根本看不见它的存在，只是靠了它发出的光线，才能辨别出它的所在。,0.0386,0,0
这里的这个真是太好了,这里的那个很可爱。,0.0,0,1
聂赫留朵夫回到家里，看门人交给他一张字条，多少带点鄙夷的神气，说是一个女人在门房里写的。,他们却问你:他多大年纪呀？,0.0682,0,0
杨紫生日,那你喜欢王一博吗,0.0,0,0
哼，你扯到哪儿去了！,他们这是上哪儿去了！,0.6553,1,1
命运真的是天注定的吗？,人的命运真的是由天注定么？,0.9833,1,1
